"","ppt","response","statement","truth","pos_judgment_phase","check_seriousness","check_attention","pos_exposure_phase","repetition","fakeness_judg"
"119","7715","resp_real_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",38,1,1,16,"repeated",0
"120","7715","resp_real_news","Jaw muscles are the strongest muscles in the human body.","true",39,1,1,4,"repeated",0
"121","7714","resp_fake_news","The slogan of the European Union ""United in diversity"" is based on an internet survey among students.","false",0,1,1,14,"repeated",1
"122","7714","resp_real_news","The form of government of the United Arab Emirates is a constitutional monarchy.","false",1,1,1,NA,"new",0
"123","7714","resp_fake_news","Cats can be allergic to people.","true",2,1,1,NA,"new",1
"124","7714","resp_real_news","Michael J. Fox is suffering from multiple sclerosis.","false",3,1,1,13,"repeated",0
"125","7714","resp_fake_news","Nelson Mandela did boxing as a hobby.","true",4,1,1,11,"repeated",1
"126","7714","resp_fake_news","The actor Stan Laurel died of a heart attack.","true",5,1,1,NA,"new",1
"127","7714","resp_fake_news","According to his own statement, Andy Warhol was bisexual.","false",6,1,1,6,"repeated",1
"128","7714","resp_real_news","The European state with the most inhabitants/km� is the Vatican.","false",7,1,1,NA,"new",0
"129","7714","resp_real_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",8,1,1,8,"repeated",0
"130","7714","resp_fake_news","Rapeseed oil damages the groundwater.","false",9,1,1,NA,"new",1
"131","7714","resp_fake_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",10,1,1,NA,"new",1
"132","7714","resp_fake_news","In heterosexual people the number of new HIV infections has been stable since 2010.","false",11,1,1,15,"repeated",1
"133","7714","resp_real_news","Sinti and Roma originally come from India and Pakistan.","true",12,1,1,19,"repeated",0
"134","7714","resp_real_news","Will Smith's full name is William Carroll Smith Jr.","false",13,1,1,NA,"new",0
"135","7714","resp_real_news","The first world climate conference was held in Geneva in 1990.","false",14,1,1,9,"repeated",0
"136","7714","resp_fake_news","Rolls-Royce uses only bull skins for its leather seats.","true",15,1,1,7,"repeated",1
"137","7714","resp_real_news","Babies have more bones than adults.","true",16,1,1,2,"repeated",0
"138","7714","resp_fake_news","Russia produces the most aluminum worldwide.","false",17,1,1,NA,"new",1
"139","7714","resp_fake_news","Brad Pitt has a ban on entering China.","true",18,1,1,NA,"new",1
"140","7714","resp_fake_news","If you perceive different smells in both nostrils you will only perceive one of the two smells.","true",19,1,1,5,"repeated",1
"141","7714","resp_real_news","Jaw muscles are the strongest muscles in the human body.","true",20,1,1,NA,"new",0
"142","7714","resp_fake_news","The gas price is not contractually linked to the oil price.","true",21,1,1,16,"repeated",1
"143","7714","resp_fake_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",22,1,1,18,"repeated",1
"144","7714","resp_fake_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",23,1,1,0,"repeated",1
"145","7714","resp_fake_news","People from Europe lose more hair per day than people from Africa.","true",24,1,1,NA,"new",1
"146","7714","resp_real_news","The first heart transplantation took place in Vienna.","true",25,1,1,NA,"new",0
"147","7714","resp_fake_news","The left lung is larger than the right lung.","false",26,1,1,3,"repeated",1
"148","7714","resp_fake_news","In France, women were allowed to vote for the first time in 1919.","false",27,1,1,12,"repeated",1
"149","7714","resp_fake_news","Tsunami means ""beach wave"".","false",28,1,1,NA,"new",1
"150","7714","resp_real_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",29,1,1,NA,"new",0
"151","7714","resp_fake_news","The largest lithium deposits in the world are located in Bolivia.","true",30,1,1,NA,"new",1
"152","7714","resp_fake_news","Bond actor Pierce Brosnan worked as a firebreather for three years.","true",31,1,1,NA,"new",1
"153","7714","resp_real_news","Genetically chimpanzees are the closest relatives to humans.","true",32,1,1,10,"repeated",0
"154","7714","resp_fake_news","Venezuela has less oil deposits than Norway.","false",33,1,1,NA,"new",1
"155","7714","resp_real_news","Elon Musk was married three times.","true",34,1,1,4,"repeated",0
"156","7714","resp_fake_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",35,1,1,17,"repeated",1
"157","7714","resp_real_news","Elvis and Priscilla Presley have a biological child.","true",36,1,1,NA,"new",0
"158","7714","resp_fake_news","The heart rate of an average woman is higher than that of an average man.","true",37,1,1,1,"repeated",1
"159","7714","resp_real_news","People with blood group AB+ can be blood donors for all groups A and B.","false",38,1,1,NA,"new",0
"160","7714","resp_fake_news","Apart from humans, gorillas have only leopards as natural enemies.","true",39,1,1,NA,"new",1
"161","7713","resp_real_news","The actor Stan Laurel died of a heart attack.","true",0,1,1,14,"repeated",0
"162","7713","resp_fake_news","The first heart transplantation took place in Vienna.","true",1,1,1,NA,"new",1
"163","7713","resp_fake_news","The left lung is larger than the right lung.","false",2,1,1,0,"repeated",1
"164","7713","resp_fake_news","Sinti and Roma originally come from India and Pakistan.","true",3,1,1,NA,"new",1
"165","7713","resp_fake_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",4,1,1,NA,"new",1
"166","7713","resp_real_news","Genetically chimpanzees are the closest relatives to humans.","true",5,1,1,13,"repeated",0
"167","7713","resp_fake_news","Bond actor Pierce Brosnan worked as a firebreather for three years.","true",6,1,1,NA,"new",1
"168","7713","resp_fake_news","Elon Musk was married three times.","true",7,1,1,NA,"new",1
"169","7713","resp_real_news","The first world climate conference was held in Geneva in 1990.","false",8,1,1,6,"repeated",0
"170","7713","resp_real_news","In France, women were allowed to vote for the first time in 1919.","false",9,1,1,NA,"new",0
"171","7713","resp_real_news","The European state with the most inhabitants/km� is the Vatican.","false",10,1,1,5,"repeated",0
"172","7713","resp_real_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",11,1,1,NA,"new",0
"173","7713","resp_fake_news","Nelson Mandela did boxing as a hobby.","true",12,1,1,12,"repeated",1
"174","7713","resp_fake_news","Brad Pitt has a ban on entering China.","true",13,1,1,1,"repeated",1
"175","7713","resp_real_news","If you perceive different smells in both nostrils you will only perceive one of the two smells.","true",14,1,1,NA,"new",0
"176","7713","resp_fake_news","Venezuela has less oil deposits than Norway.","false",15,1,1,NA,"new",1
"177","7713","resp_real_news","Cats can be allergic to people.","true",16,1,1,10,"repeated",0
"178","7713","resp_real_news","People from Europe lose more hair per day than people from Africa.","true",17,1,1,17,"repeated",0
"179","7713","resp_real_news","The form of government of the United Arab Emirates is a constitutional monarchy.","false",18,1,1,15,"repeated",0
"180","7713","resp_fake_news","Babies have more bones than adults.","true",19,1,1,NA,"new",1
"181","7713","resp_real_news","Jaw muscles are the strongest muscles in the human body.","true",20,1,1,4,"repeated",0
"182","7713","resp_fake_news","Apart from humans, gorillas have only leopards as natural enemies.","true",21,1,1,NA,"new",1
"183","7713","resp_real_news","The gas price is not contractually linked to the oil price.","true",22,1,1,NA,"new",0
"184","7713","resp_fake_news","Michael J. Fox is suffering from multiple sclerosis.","false",23,1,1,NA,"new",1
"185","7713","resp_real_news","According to his own statement, Andy Warhol was bisexual.","false",24,1,1,NA,"new",0
"186","7713","resp_fake_news","In heterosexual people the number of new HIV infections has been stable since 2010.","false",25,1,1,7,"repeated",1
"187","7713","resp_fake_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",26,1,1,19,"repeated",1
"188","7713","resp_real_news","Elvis and Priscilla Presley have a biological child.","true",27,1,1,9,"repeated",0
"189","7713","resp_fake_news","People with blood group AB+ can be blood donors for all groups A and B.","false",28,1,1,2,"repeated",1
"190","7713","resp_real_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",29,1,1,NA,"new",0
"191","7713","resp_fake_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",30,1,1,NA,"new",1
"192","7713","resp_real_news","Tsunami means ""beach wave"".","false",31,1,1,NA,"new",0
"193","7713","resp_real_news","Russia produces the most aluminum worldwide.","false",32,1,1,11,"repeated",0
"194","7713","resp_fake_news","Rapeseed oil damages the groundwater.","false",33,1,1,NA,"new",1
"195","7713","resp_fake_news","Rolls-Royce uses only bull skins for its leather seats.","true",34,1,1,NA,"new",1
"196","7713","resp_real_news","The slogan of the European Union ""United in diversity"" is based on an internet survey among students.","false",35,1,1,3,"repeated",0
"197","7713","resp_real_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",36,1,1,18,"repeated",0
"198","7713","resp_fake_news","The heart rate of an average woman is higher than that of an average man.","true",37,1,1,8,"repeated",1
"199","7713","resp_real_news","Will Smith's full name is William Carroll Smith Jr.","false",38,1,1,NA,"new",0
"200","7713","resp_real_news","The largest lithium deposits in the world are located in Bolivia.","true",39,1,1,16,"repeated",0
"201","7711","resp_fake_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",0,1,1,16,"repeated",1
"202","7711","resp_real_news","The first world climate conference was held in Geneva in 1990.","false",1,1,1,NA,"new",0
"203","7711","resp_fake_news","According to his own statement, Andy Warhol was bisexual.","false",2,1,1,5,"repeated",1
"204","7711","resp_fake_news","Rolls-Royce uses only bull skins for its leather seats.","true",3,1,1,NA,"new",1
"205","7711","resp_fake_news","Sinti and Roma originally come from India and Pakistan.","true",4,1,1,NA,"new",1
"206","7711","resp_fake_news","Brad Pitt has a ban on entering China.","true",5,1,1,11,"repeated",1
"207","7711","resp_fake_news","Nelson Mandela did boxing as a hobby.","true",6,1,1,NA,"new",1
"208","7711","resp_fake_news","Will Smith's full name is William Carroll Smith Jr.","false",7,1,1,1,"repeated",1
"209","7711","resp_real_news","The actor Stan Laurel died of a heart attack.","true",8,1,1,12,"repeated",0
"210","7711","resp_fake_news","The first heart transplantation took place in Vienna.","true",9,1,1,NA,"new",1
"211","7711","resp_real_news","Cats can be allergic to people.","true",10,1,1,4,"repeated",0
"212","7711","resp_real_news","People from Europe lose more hair per day than people from Africa.","true",11,1,1,NA,"new",0
"213","7711","resp_real_news","In France, women were allowed to vote for the first time in 1919.","false",12,1,1,NA,"new",0
"214","7711","resp_real_news","The largest lithium deposits in the world are located in Bolivia.","true",13,1,1,14,"repeated",0
"215","7711","resp_real_news","Elvis and Priscilla Presley have a biological child.","true",14,1,1,NA,"new",0
"216","7711","resp_fake_news","Rapeseed oil damages the groundwater.","false",15,1,1,NA,"new",1
"217","7711","resp_fake_news","If you perceive different smells in both nostrils you will only perceive one of the two smells.","true",16,1,1,10,"repeated",1
"218","7711","resp_fake_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",17,1,1,NA,"new",1
"219","7711","resp_fake_news","Venezuela has less oil deposits than Norway.","false",18,1,1,9,"repeated",1
"220","7711","resp_fake_news","The European state with the most inhabitants/km� is the Vatican.","false",19,1,1,NA,"new",1
"221","7711","resp_fake_news","The form of government of the United Arab Emirates is a constitutional monarchy.","false",20,1,1,17,"repeated",1
"222","7711","resp_fake_news","Elon Musk was married three times.","true",21,1,1,NA,"new",1
"223","7711","resp_real_news","Genetically chimpanzees are the closest relatives to humans.","true",22,1,1,NA,"new",0
"224","7711","resp_real_news","Babies have more bones than adults.","true",23,1,1,8,"repeated",0
"225","7711","resp_real_news","Jaw muscles are the strongest muscles in the human body.","true",24,1,1,19,"repeated",0
"226","7711","resp_real_news","Russia produces the most aluminum worldwide.","false",25,1,1,NA,"new",0
"227","7711","resp_real_news","Bond actor Pierce Brosnan worked as a firebreather for three years.","true",26,1,1,13,"repeated",0
"228","7711","resp_real_news","The gas price is not contractually linked to the oil price.","true",27,1,1,NA,"new",0
"229","7711","resp_real_news","The slogan of the European Union ""United in diversity"" is based on an internet survey among students.","false",28,1,1,6,"repeated",0
"230","7711","resp_fake_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",29,1,1,NA,"new",1
"231","7711","resp_fake_news","Apart from humans, gorillas have only leopards as natural enemies.","true",30,1,1,3,"repeated",1
"232","7711","resp_real_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",31,1,1,NA,"new",0
"233","7711","resp_real_news","The heart rate of an average woman is higher than that of an average man.","true",32,1,1,2,"repeated",0
"234","7711","resp_real_news","The left lung is larger than the right lung.","false",33,1,1,NA,"new",0
"235","7711","resp_fake_news","Michael J. Fox is suffering from multiple sclerosis.","false",34,1,1,7,"repeated",1
"236","7711","resp_fake_news","In heterosexual people the number of new HIV infections has been stable since 2010.","false",35,1,1,NA,"new",1
"237","7711","resp_real_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",36,1,1,15,"repeated",0
"238","7711","resp_fake_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",37,1,1,0,"repeated",1
"239","7711","resp_fake_news","Tsunami means ""beach wave"".","false",38,1,1,18,"repeated",1
"240","7711","resp_fake_news","People with blood group AB+ can be blood donors for all groups A and B.","false",39,1,1,NA,"new",1
"241","7709","resp_fake_news","The left lung is larger than the right lung.","false",0,1,1,15,"repeated",1
"242","7709","resp_real_news","Elon Musk was married three times.","true",1,1,1,11,"repeated",0
"243","7709","resp_fake_news","In Italy, Spain, and Portugal, solar power is more expensive than electricity from coal combustion.","false",2,1,1,NA,"new",1
"244","7709","resp_fake_news","Jaw muscles are the strongest muscles in the human body.","true",3,1,1,NA,"new",1
"245","7709","resp_real_news","Will Smith's full name is William Carroll Smith Jr.","false",4,1,1,NA,"new",0
"246","7709","resp_real_news","Venezuela has less oil deposits than Norway.","false",5,1,1,1,"repeated",0
"247","7709","resp_real_news","Aspirin rarely (1 case in 1000 to 10000) leads to micro-bleeding in the gastrointestinal tract.","false",6,1,1,2,"repeated",0
"248","7709","resp_real_news","Melania Trump was born in the Slovenian city of Novo Mesto.","true",7,1,1,0,"repeated",0
"249","7709","resp_real_news","Babies have more bones than adults.","true",8,1,1,NA,"new",0
"250","7709","resp_fake_news","People with blood group AB+ can be blood donors for all groups A and B.","false",9,1,1,7,"repeated",1
"251","7709","resp_fake_news","Russia produces the most aluminum worldwide.","false",10,1,1,NA,"new",1
"252","7709","resp_real_news","The European state with the most inhabitants/km� is the Vatican.","false",11,1,1,NA,"new",0
"253","7709","resp_fake_news","The Spanish King Felipe VI is descended from the Merovingian dynasty.","false",12,1,1,NA,"new",1
"254","7709","resp_fake_news","The heart rate of an average woman is higher than that of an average man.","true",13,1,1,14,"repeated",1
"255","7709","resp_real_news","In France, women were allowed to vote for the first time in 1919.","false",14,1,1,NA,"new",0
"256","7709","resp_real_news","The gas price is not contractually linked to the oil price.","true",15,1,1,3,"repeated",0
"257","7709","resp_fake_news","With the Good Friday Agreement, Ireland reaffirmed its demand for reunification with Northern Ireland.","false",16,1,1,19,"repeated",1
"258","7709","resp_real_news","According to his own statement, Andy Warhol was bisexual.","false",17,1,1,9,"repeated",0
"259","7709","resp_fake_news","The first world climate conference was held in Geneva in 1990.","false",18,1,1,NA,"new",1
"260","7709","resp_real_news","Hugh Grant was twice convicted of public misdemeanor of sexual nature.","false",19,1,1,6,"repeated",0
"261","7709","resp_real_news","The largest lithium deposits in the world are located in Bolivia.","true",20,1,1,4,"repeated",0
"262","7709","resp_fake_news","Rapeseed oil damages the groundwater.","false",21,1,1,NA,"new",1
"263","7709","resp_fake_news","The first heart transplantation took place in Vienna.","true",22,1,1,NA,"new",1
"264","7709","resp_real_news","Rolls-Royce uses only bull skins for its leather seats.","true",23,1,1,NA,"new",0
"265","7709","resp_real_news","Michael J. Fox is suffering from multiple sclerosis.","false",24,1,1,10,"repeated",0
